System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   329.8414949 + j -1176.254568
[   2,   1] =   47.91324149 + j -50.54458131
[   3,   1] =   48.13304013 + j -50.85265573
[  26,   1] =  -1.145122052 + j  3.300600731
[  27,   1] =   0.485857546 + j -1.220291273
[  28,   1] =  0.2660589098 + j-0.9122168511
[   2,   2] =    329.699084 + j -1176.081613
[   3,   2] =   48.27279421 + j  -51.0681723
[  26,   2] =   0.485857546 + j -1.220291273
[  27,   2] =  -1.002711181 + j  3.127645175
[  28,   2] =  0.1263048312 + j-0.6967002794
[   3,   3] =   329.5830912 + j -1175.904561
[  26,   3] =  0.2660589098 + j-0.9122168511
[  27,   3] =  0.1263048312 + j-0.6967002794
[  28,   3] = -0.8867184358 + j  2.950593758
[   4,   4] =     6.2024122 + j -8.262028418
[   5,   4] =  -1.495155595 + j   1.50590911
[   6,   4] =  -2.139479975 + j  1.690117094
[   7,   4] =  -5.286769772 + j  9.612308677
[  26,   4] =  -5.564622526 + j  7.133818692
[  27,   4] =   1.495155595 + j -1.505909121
[  28,   4] =   2.139479975 + j -1.690117105
[   5,   5] =   5.539386609 + j -8.188160007
[   6,   5] =  -1.088024006 + j  1.382396698
[   8,   5] =  -5.286769772 + j  9.612308677
[  26,   5] =   1.495155595 + j -1.505909121
[  27,   5] =  -4.908541379 + j  7.063422502
[  28,   5] =   1.088024006 + j -1.382396708
[   6,   6] =   5.820048914 + j -8.210350901
[   9,   6] =  -5.286769772 + j  9.612308677
[  26,   6] =   2.139479975 + j -1.690117105
[  27,   6] =   1.088024006 + j -1.382396708
[  28,   6] =  -5.189203684 + j  7.085613397
[   7,   7] =   45.81867136 + j -83.30667628
[   8,   8] =   45.81867136 + j -83.30667628
[   9,   9] =   45.81867136 + j -83.30667628
[  10,  10] =   57.05504857 + j -150.2909298
[  11,  10] =  -21.13498549 + j  53.08312807
[  12,  10] =   -13.9813959 + j  40.68111783
[  16,  10] =   -45.8048821 + j  132.0240292
[  17,  10] =   10.64235639 + j -36.48867404
[  23,  10] =  -1.718112607 + j  4.952139131
[  24,  10] =  0.7289685612 + j -1.830894634
[  25,  10] =  0.3991881618 + j -1.368667444
[  29,  10] =  -2.290244105 + j  6.601201461
[  30,  10] =   0.971715092 + j -2.440582547
[  31,  10] =  0.5321178197 + j -1.824433702
[  32,  10] =  -7.175068362 + j  6.675422271
[  33,  10] =    2.40773352 + j-0.9993426967
[  35,  10] =   19.43430184 + j -48.81165094
[  11,  11] =   43.68505389 + j  -136.091876
[  12,  11] =  -5.494307531 + j  30.30672343
[  16,  11] =   19.43430184 + j -48.81165094
[  17,  11] =   5.052193246 + j -27.86801118
[  23,  11] =  0.7289685612 + j -1.830894634
[  24,  11] =  -1.504442882 + j  4.692640923
[  25,  11] =  0.1895046229 + j -1.045311747
[  29,  11] =   0.971715092 + j -2.440582547
[  30,  11] =  -2.005422362 + j  6.255290351
[  31,  11] =  0.2526096623 + j -1.393400559
[  35,  11] =  -40.10844724 + j   125.105807
[  12,  12] =   45.86426403 + j -135.0350164
[  16,  12] =   10.64235639 + j -36.48867404
[  17,  12] =  -35.46873743 + j  118.0237503
[  23,  12] =  0.3991881618 + j -1.368667444
[  24,  12] =  0.1895046229 + j -1.045311747
[  25,  12] =  -1.330410256 + j  4.426997387
[  29,  12] =  0.5321178197 + j -1.824433702
[  30,  12] =  0.2526096623 + j -1.393400559
[  31,  12] =  -1.773436872 + j  5.901187516
[  32,  12] =    2.40773352 + j-0.9993426967
[  33,  12] =  -7.224938067 + j  6.644943442
[  35,  12] =   5.052193246 + j -27.86801118
[  13,  13] =   11.50962327 + j -10.70237694
[  14,  13] =  -7.175068362 + j  6.675422271
[  15,  13] =    2.40773352 + j-0.9993426967
[  27,  13] =  -4.305041017 + j  4.005253363
[  28,  13] =   1.444640112 + j -0.599605618
[  34,  13] =  -3.852373632 + j  1.598948298
[  14,  14] =   7.188358858 + j  -6.68304983
[  15,  14] =  -2.421024016 + j  1.006970279
[  34,  14] =    2.40773352 + j-0.9993426967
[  15,  15] =   7.238228563 + j -6.652571001
[  34,  15] =  -7.224938067 + j  6.644943442
[  16,  16] =   56.22747288 + j -139.8693157
[  17,  16] =  -11.73313114 + j  38.98999366
[  18,  16] =  -10.41276737 + j  7.836567847
[  19,  16] =   2.428601676 + j  -3.07939529
[  20,  16] =   1.080951335 + j -2.492594114
[  35,  16] =  -21.86290352 + j  51.89104623
[  17,  17] =   45.89132822 + j -125.8690368
[  18,  17] =   1.080951335 + j -2.492594114
[  19,  17] =   2.428601676 + j  -3.07939529
[  20,  17] =  -10.41276737 + j  7.836567847
[  35,  17] =  -7.480794922 + j  30.94740647
[  18,  18] =   10.49696876 + j -7.869547104
[  19,  18] =  -2.428601676 + j   3.07939529
[  20,  18] =  -1.080951335 + j  2.492594114
[  35,  18] =   2.428601676 + j  -3.07939529
[  19,  19] =   11.55855071 + j -8.207849209
[  20,  19] =  -2.428601676 + j   3.07939529
[  35,  19] =  -11.54674516 + j  8.197439395
[  20,  20] =   10.46311459 + j -7.873366549
[  35,  20] =   2.428601676 + j  -3.07939529
[  21,  21] =   6.559515661 + j -6.633793604
[  33,  21] =  -6.530001772 + j  6.619904746
[  22,  22] =   4.313312154 + j  -1.65272976
[  32,  22] =  -4.291089932 + j  1.637805945
[  23,  23] =   5.154713328 + j -14.85072881
[  24,  23] =  -2.185812777 + j  5.489938889
[  25,  23] =  -1.196966002 + j  4.103950313
[  26,  23] =  -3.433649332 + j  9.896853765
[  27,  23] =   1.456844216 + j -3.659044298
[  28,  23] =  0.7977778406 + j -2.735282912
[  24,  24] =   4.522531443 + j -14.07748435
[  25,  24] = -0.5682297538 + j  3.134368014
[  26,  24] =   1.456844216 + j -3.659044298
[  27,  24] =  -3.006630228 + j  9.378246403
[  28,  24] =  0.3787251309 + j  -2.08905631
[  25,  25] =   4.009548651 + j -13.28616034
[  26,  25] =  0.7977778406 + j -2.735282912
[  27,  25] =  0.3787251309 + j  -2.08905631
[  28,  25] =  -2.658825895 + j  8.847357596
[  26,  26] =   10.14339391 + j -20.33127287
[  27,  26] =  -3.437857357 + j  6.385244625
[  28,  26] =  -3.203316726 + j    5.3376168
[  27,  27] =   13.22292381 + j -23.57456708
[  28,  27] =   -3.03769408 + j  4.767758838
[  34,  27] =   1.444640112 + j -0.599605618
[  28,  28] =   13.06971085 + j -22.87053045
[  34,  28] =   -4.33496284 + j  3.986966065
[  29,  29] =   2.290244105 + j -6.601201362
[  30,  29] =  -0.971715092 + j  2.440582526
[  31,  29] = -0.5321178197 + j  1.824433681
[  30,  30] =   2.005422362 + j -6.255290251
[  31,  30] = -0.2526096623 + j  1.393400537
[  31,  31] =   1.773436872 + j -5.901187417
[  32,  32] =   11.46615829 + j -8.313221446
[  33,  32] =   -2.40773352 + j 0.9993426903
[  33,  33] =   13.75493984 + j -13.26484813
[  34,  34] =   11.55990091 + j -10.63190943
[  35,  35] =    51.6551924 + j -133.3032395
