System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   25.67368735 + j -62.97199594
[   2,   1] =   -7.92233453 + j  14.87289665
[   3,   1] = -0.7974121737 + j  3.206938889
[   4,   1] =  -13.85073059 + j  27.36996826
[   5,   1] =   4.159862797 + j -6.095749589
[   6,   1] =   1.501090925 + j -3.959552937
[   7,   1] =  -11.72076921 + j   27.0515433
[   8,   1] =   4.466150485 + j -9.529761162
[   2,   2] =   26.99296473 + j -63.76767833
[   3,   2] =  -1.844411219 + j  4.080021337
[   4,   2] =   4.159862797 + j -6.095749589
[   5,   2] =  -14.86322788 + j  28.01385744
[   6,   2] =   2.548089971 + j -4.832635398
[   7,   2] =   4.466150485 + j -9.529761162
[   8,   2] =  -12.02754929 + j  27.20333651
[   3,   3] =   13.08292972 + j -35.30051138
[   4,   3] =   1.501090925 + j -3.959552937
[   5,   3] =   2.548089971 + j -4.832635398
[   6,   3] =  -12.98074217 + j   26.7500269
[   4,   4] =   54.38380837 + j -101.0655357
[   5,   4] =  -4.159862797 + j  6.095749537
[   6,   4] =  -1.501090925 + j  3.959552917
[   5,   5] =   55.39630566 + j -101.7094248
[   6,   5] =  -2.548089971 + j  4.832635365
[   6,   6] =   53.51381995 + j -100.4455943
[   7,   7] =   11.72076921 + j -27.05154322
[   8,   7] =  -4.466150485 + j  9.529761145
[   8,   8] =   19.86355143 + j -35.14722202
[   9,   8] =  -7.836002137 + j  7.943885702
[   9,   9] =   7.837765805 + j -7.945684897
